Län,År,Population
Kalmar län,2015,237679
Gotlands län,2015,57391
Blekinge län,2015,156253
Skåne län,2015,1303627
Hallands län,2015,314784
Västra Götalands län,2015,1648682
Värmlands län,2015,275904
Örebro län,2015,291012
Västmanlands län,2015,264276
Dalarnas län,2015,281028
Gävleborgs län,2015,281815
Västernorrlands län,2015,243897
Jämtlands län,2015,127376
Västerbottens län,2015,263378
Norrbottens län,2015,249733
Stockholms län,2016,2269060
Uppsala län,2016,361373
Södermanlands län,2016,288097
Östergötlands län,2016,452105
Jönköpings län,2016,352735
Kronobergs län,2016,194628
Kalmar län,2016,242301
Gotlands län,2016,58003
Blekinge län,2016,158453
Skåne län,2016,1324565
Hallands län,2016,320333
Västra Götalands län,2016,1671783
Värmlands län,2016,279334
Örebro län,2016,294941
Västmanlands län,2016,267629
Dalarnas län,2016,284531
Gävleborgs län,2016,284586
Västernorrlands län,2016,245572
Jämtlands län,2016,128673
Västerbottens län,2016,265881
Norrbottens län,2016,250570
Stockholms län,2017,2308143
Uppsala län,2017,368971
Södermanlands län,2017,291341
Östergötlands län,2017,457496
Jönköpings län,2017,357237
Kronobergs län,2017,197519
Kalmar län,2017,243536
Gotlands län,2017,58595
Blekinge län,2017,159371
Skåne län,2017,1344689
Hallands län,2017,324825
Västra Götalands län,2017,1690782
Värmlands län,2017,280399
Örebro län,2017,298907
Västmanlands län,2017,271095
Dalarnas län,2017,286165
Gävleborgs län,2017,285637
Västernorrlands län,2017,245968
Jämtlands län,2017,129806
Västerbottens län,2017,268465
Norrbottens län,2017,251295
Stockholms län,2018,2344124
Uppsala län,2018,376354
Södermanlands län,2018,294695
Östergötlands län,2018,461583
Jönköpings län,2018,360825
Kronobergs län,2018,199886
Kalmar län,2018,244670
Gotlands län,2018,59249
Blekinge län,2018,159684
Skåne län,2018,1362164
Hallands län,2018,329352
Västra Götalands län,2018,1709814
Värmlands län,2018,281482
Örebro län,2018,302252
Västmanlands län,2018,273929
Dalarnas län,2018,287191
Gävleborgs län,2018,286547
Västernorrlands län,2018,245453
Jämtlands län,2018,130280
Västerbottens län,2018,270154
Norrbottens län,2018,250497
Stockholms län,2019,2377081
Uppsala län,2019,383713
Södermanlands län,2019,297540
Östergötlands län,2019,465495
Jönköpings län,2019,363599
Kronobergs län,2019,201469
Kalmar län,2019,245446
Gotlands län,2019,59686
Blekinge län,2019,159606
Skåne län,2019,1377827
Hallands län,2019,333848
Västra Götalands län,2019,1725881
Värmlands län,2019,282414
Örebro län,2019,304805
Västmanlands län,2019,275845
Dalarnas län,2019,287966
Gävleborgs län,2019,287382
Västernorrlands län,2019,245347
Jämtlands län,2019,130810
Västerbottens län,2019,271736
Norrbottens län,2019,250093
